tiempo[ms]V_Panel[V]	I_Panel[A]	R_Carga[Ohms]	P_Panel[W]	G[W/m2]	T[°C]	Load[%]							
load=94.4													
144609	42.5		4.9		8.6		209.8		400		25.0		94.4
load=95.0													
145120	42.6		5.0		8.6		211.8		400		25.0		95.0
load=95.0													
145631	43.1		4.9		8.7		212.7		400		25.0		95.0
load=95.0													
146142	43.1		5.0		8.7		214.0		400		25.0		95.0
load=95.0													
146653	42.2		4.9		8.5		208.7		400		25.0		95.0
load=95.0													
147164	42.6		4.9		8.6		210.8		400		25.0		95.0
load=95.0													
147675	42.8		5.0		8.6		211.9		400		25.0		95.0
load=95.0													
148186	43.4		5.0		8.7		215.1		400		25.0		95.0
load=95.0													
148697	42.5		5.0		8.5		211.7		400		25.0		95.0
load=95.0													
149208	42.1		4.9		8.5		207.9		400		25.0		95.0
load=95.0													
149719	42.2		5.0		8.5		209.9		400		25.0		95.0
load=95.0													
150230	42.6		5.0		8.6		211.2		400		25.0		95.0
load=95.0													
150741	42.8		5.0		8.6		212.2		400		25.0		95.0
load=95.0													
151252	42.6		5.0		8.6		211.2		400		25.0		95.0
load=95.0													
151763	42.3		5.0		8.6		209.7		400		25.0		95.0
load=95.0													
152274	42.8		5.0		8.6		212.8		400		25.0		95.0
load=95.0													
152785	42.5		5.0		8.6		211.1		400		25.0		95.0
load=95.0													
153296	43.2		5.0		8.7		214.7		400		25.0		95.0
load=95.0													
153807	42.4		4.9		8.6		209.8		400		25.0		95.0
load=95.0													
154318	43.5		5.0		8.8		215.8		400		25.0		95.0
load=95.0													
154829	42.6		5.0		8.6		211.2		400		25.0		95.0
load=95.0													
155340	42.2		5.0		8.5		209.0		400		25.0		95.0
load=95.0													
155851	43.5		4.9		8.8		215.2		400		25.0		95.0
load=95.0													
156362	42.6		5.0		8.6		211.2		400		25.0		95.0
load=95.0													
156873	42.6		5.0		8.6		211.5		400		25.0		95.0
load=95.0													
157384	42.6		5.0		8.6		212.1		400		25.0		95.0
load=95.0													
157895	42.9		5.0		8.7		212.6		400		25.0		95.0
load=95.0													
158406	43.0		5.0		8.7		213.1		400		25.0		95.0
load=95.0													
158917	42.8		5.0		8.6		212.2		400		25.0		95.0
load=95.0													
159428	42.3		4.9		8.6		209.4		400		25.0		95.0
load=95.0													
159939	42.9		5.0		8.7		212.6		400		25.0		95.0
load=95.0													
160450	41.9		5.0		8.4		208.4		400		25.0		95.0
load=95.0													
160961	42.2		5.0		8.5		209.3		400		25.0		95.0
load=95.0													
161472	42.1		5.0		8.5		209.2		400		25.0		95.0
load=95.0													
161983	43.2		5.0		8.7		214.1		400		25.0		95.0
load=95.0													
162494	43.5		5.0		8.8		215.5		400		25.0		95.0
load=95.0													
163005	42.8		5.0		8.6		212.1		400		25.0		95.0
load=95.0													
163516	42.9		5.0		8.7		212.9		400		25.0		95.0
load=95.0													
164027	43.1		5.0		8.6		214.6		400		25.0		95.0
load=95.0													
164538	43.4		5.0		8.7		216.4		400		25.0		95.0
load=95.0													
165049	43.1		5.0		8.7		214.0		400		25.0		95.0
load=95.0													
165560	42.5		5.0		8.6		211.1		400		25.0		95.0
load=95.0													
166071	43.4		5.0		8.7		216.4		400		25.0		95.0
load=95.0													
166582	43.5		5.0		8.8		215.5		400		25.0		95.0
load=95.0													
167093	42.8		5.0		8.6		212.5		400		25.0		95.0
load=95.0													
167604	43.5		5.0		8.8		216.0		400		25.0		95.0
load=95.0													
168115	42.5		5.0		8.6		210.7		400		25.0		95.0
load=95.0													
168626	43.4		5.0		8.7		215.4		400		25.0		95.0
load=95.0													
169137	42.5		5.0		8.6		210.7		400		25.0		95.0
load=95.0													
169648	42.8		5.0		8.6		212.8		400		25.0		95.0
load=95.0													
170159	42.8		5.0		8.6		212.5		400		25.0		95.0
load=95.0													
170670	43.2		5.0		8.6		216.3		401		25.0		95.0
load=95.0													
171181	43.1		5.1		8.5		218.4		407		25.0		95.0
load=93.5													
171692	42.5		5.2		8.1		221.9		422		25.0		93.5
load=90.5													
172203	42.6		5.4		7.9		230.5		437		25.0		90.5
load=93.5													
172714	43.1		5.6		7.7		241.7		452		25.0		93.5
load=90.5													
173225	42.8		5.8		7.4		247.9		466		25.0		90.5
load=93.5													
173736	43.5		6.0		7.3		259.8		481		25.0		93.5
load=95.0													
174247	43.5		6.2		7.1		267.8		496		25.0		95.0
load=95.0													
174758	44.1		6.3		7.0		279.8		511		25.0		95.0
load=93.5													
175269	42.2		6.5		6.5		275.1		526		25.0		93.5
load=90.5													
175780	42.6		6.7		6.4		285.2		540		25.0		90.5
load=93.5													
176291	43.5		6.9		6.3		299.7		555		25.0		93.5
load=90.5													
176802	42.8		7.1		6.1		302.2		569		25.0		90.5
load=87.5													
177313	42.9		7.2		5.9		310.4		585		25.0		87.5
load=84.5													
177824	42.8		7.4		5.8		317.5		599		25.0		84.5
load=81.5													
178335	42.6		7.6		5.6		325.2		614		25.0		81.5
load=78.5													
178846	42.8		7.8		5.5		333.5		629		25.0		78.5
load=81.5													
179357	44.0		8.0		5.5		351.1		644		25.0		81.5
load=78.5													
179868	42.8		8.2		5.2		349.8		659		25.0		78.5
load=75.5													
180379	42.8		8.3		5.1		357.0		673		25.0		75.5
load=72.5													
180890	42.3		8.5		5.0		361.4		688		25.0		72.5
load=70.1													
181401	41.9		8.7		4.8		365.3		702		25.0		70.1
load=73.1													
181912	42.6		8.9		4.8		379.8		718		25.0		73.1
load=76.1													
182423	43.7		9.1		4.8		396.3		732		25.0		76.1
load=79.1													
182934	43.4		9.3		4.7		401.3		747		25.0		79.1
load=76.1													
183445	42.8		9.4		4.5		404.0		762		25.0		76.1
load=79.1													
183956	43.3		9.6		4.5		417.3		778		25.0		79.1
load=82.1													
184467	43.2		9.8		4.4		425.0		792		25.0		82.1
load=79.3													
184978	42.3		10.0		4.2		423.4		806		25.0		79.3
load=82.3													
185489	43.8		10.0		4.4		436.5		805		25.0		82.3
load=79.3													
186000	43.1		9.9		4.3		427.9		802		25.0		79.3
load=78.0													
186511	42.8		9.9		4.3		425.0		800		25.0		78.0
load=78.0													
187022	42.5		9.9		4.3		421.5		800		25.0		78.0
load=79.6													
187533	43.7		9.9		4.4		433.1		800		25.0		79.6
load=81.5													
188044	43.5		9.9		4.4		432.3		800		25.0		81.5
load=83.0													
188555	44.0		9.9		4.4		436.9		800		25.0		83.0
load=83.9													
189066	42.8		9.9		4.3		425.0		800		25.0		83.9
load=84.9													
